Distance,Type,Name
0,"TOWN,🛒,🍴",Fort Collins
136,🚰,Tunnel Campground
157.7,⛰️,Cameron Pass
184.7,⛰️,Calamity Pass
214.3,⛰️,Willow Creek Pass
238.8,⛰️,Stillwater Pass
259.5,"CAMP,🚰",Stillwater Campground
273.1,"TOWN,🍴",Granby
278,🛒,City Market / King Soopers
301.5,"TOWN,🛒",Fraser
306.4,"TOWN,🛒,🍴",Winter Park
335,⛰️,Rollins Pass
358.9,CAMP,East Portal Camp Area
381.5,TOWN,Central City
395.7,"TOWN,🍴,🛒",Idaho Springs
411,⛰️,Mestaa'Ehehe Pass
428.5,"TOWN,🛒,🍴",Evergreen
447.9,"TOWN,🛒,🍴",Conifer
459.6,"CAMP,🚰",Idylease Campground
485,"CAMP,🚰",Ouzel Campground
496.6,"CAMP,🚰",Lone Rock Campground
518.3,"CAMP,🚰",Goose Creek Campground
552.6,"TOWN,🛒,🍴",Lake George
599,"TOWN,🛒,🍴",Cripple Creek
625,"PARK,SHELTER",Red Canyon Park
651.6,"TOWN,🛒,🍴",Canon City
700,"TOWN,🛒,🍴",Silver Cliff / Westcliffe
745,⛰️,Sheep Creek Peak
750,🚰,Blue Spring
824,"TOWN,🛒,🍴",Walsenburg
853,"TOWN,🛒,🍴",La Veta
890,"⛰️,CAMP",Corvoda Pass
978.4,"TOWN,🛒,🍴",Trinidad
